batch size,layers dim,lr,drop out,min l2 penalty weight,activation func,macro f1 test,micro f1 test,acc test,loss test,macro f1 train,micro f1 train,acc train,loss train
32,"(268, 178, 89)",0.0001,1,0.001,relu,0.8157673287265774,0.8265682656826568,0.8265682656826568,0.504447179492543,0.8841348470003944,0.889196675900277,0.889196675900277,0.32504072762448366
32,"(268, 178, 89)",0.0001,1,0.001,elu,0.8318405499620762,0.8357933579335792,0.8357933579335793,0.5685666238766955,0.8642032927167442,0.8730378578024007,0.8730378578024007,0.38461658452052117
32,"(268, 178, 89)",0.0001,1,0.004216965034285823,relu,0.8139578605398932,0.8173431734317345,0.8173431734317343,0.42044484454108616,0.8764223318005306,0.884118190212373,0.884118190212373,0.3603870972514439
32,"(268, 178, 89)",0.0001,1,0.004216965034285823,elu,0.8107687429525282,0.8210332103321034,0.8210332103321033,0.4188150038226411,0.8750561506255577,0.8831948291782087,0.8831948291782087,0.36751746613851816
32,"(268, 178, 89)",0.0001,1,0.01778279410038923,relu,0.8106973692730939,0.8191881918819188,0.8191881918819188,0.49863425641360076,0.8725155653781671,0.88134810710988,0.88134810710988,0.3922474870854676
32,"(268, 178, 89)",0.0001,1,0.01778279410038923,elu,0.814315391889,0.8210332103321034,0.8210332103321033,0.5476281219797184,0.8667082294083902,0.876269621421976,0.876269621421976,0.3745563785210061
32,"(268, 178, 89)",0.0001,1,0.07498942093324558,relu,0.8160131906046656,0.8191881918819188,0.8191881918819188,0.5779750314755752,0.8495750439551084,0.8596491228070176,0.8596491228070176,0.5917538467786053
32,"(268, 178, 89)",0.0001,1,0.07498942093324558,elu,0.8144473260194157,0.8154981549815498,0.8154981549815498,0.6245755779692123,0.85481597941076,0.8665743305632503,0.8665743305632503,0.5514961248560805
32,"(268, 178, 89)",0.0001,1,0.31622776601683794,relu,0.09102173987371402,0.1863468634686347,0.1863468634686347,1.9331263858601795,0.08154986634479912,0.1703601108033241,0.1703601108033241,1.9397135257858602
32,"(268, 178, 89)",0.0001,1,0.31622776601683794,elu,0.12893650268810733,0.16236162361623616,0.16236162361623616,1.9478789839876411,0.13587518684017524,0.17405355493998154,0.17405355493998154,1.958118073040013
32,"(268, 178, 89)",0.0001,3,0.001,relu,0.7899748817248567,0.7988929889298891,0.7988929889298892,0.4003658033725504,0.869146771221792,0.8781163434903049,0.8781163434903048,0.41415023447595634
32,"(268, 178, 89)",0.0001,3,0.001,elu,0.8139675805643669,0.8191881918819188,0.8191881918819188,0.5746309462299,0.8647173337753516,0.8739612188365651,0.8739612188365651,0.3839900775396741
