max_depth,lambda,eta,min child weight,subsample,ntree_limit,sample type,normalize type,rate drop,avg train,avg test
7,0.1,0.017782794,1,0.8,81,weighted,forest,0.5,0.938674531,0.824683652
11,1.3,0.316227766,1,0.8,121,uniform,forest,0.2,0.960384216,0.824316626
7,1.9,0.316227766,1,1,81,weighted,forest,0.5,0.940049,0.824277524
7,0.1,0.316227766,1,0.8,81,weighted,tree,0.2,0.941114752,0.824277036
11,0.1,0.316227766,1,0.8,41,weighted,tree,0.2,0.949252926,0.824275967
7,0.1,0.074989421,1,0.8,81,uniform,forest,0.8,0.944621212,0.824242783
11,0.7,0.316227766,1,1,81,uniform,forest,0.5,0.967562079,0.8241626
7,0.1,0.316227766,1,0.8,121,weighted,forest,0.8,0.949129727,0.824157493
11,0.7,0.074989421,1,0.8,81,weighted,forest,0.5,0.938075172,0.824089872
11,0.7,0.316227766,1,1,41,weighted,forest,0.2,0.974231853,0.824009123
7,0.1,0.074989421,1,0.8,81,uniform,forest,0.5,0.946971322,0.823833904
11,0.1,0.316227766,1,0.6,121,uniform,forest,0.2,0.969335599,0.823830164
7,1.9,0.316227766,1,0.8,41,uniform,forest,0.2,0.942264461,0.823802721
11,0.1,0.001,1,0.8,81,uniform,forest,0.8,0.937153149,0.823744549
11,0.7,0.316227766,1,0.6,121,weighted,forest,0.2,0.954763728,0.823734805
7,0.1,0.074989421,1,0.8,121,uniform,forest,0.8,0.941115348,0.823680721
